국립공원명,조사일자,자원명,위치명,로드킬구간명,경도,위도
속리산,2014-09-23,살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2014-09-16,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2014-09-01,누룩뱀,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2014-09-01,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2014-08-31,살모사,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2014-08-31,까치살모사,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2014-08-10,살모사,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2014-07-05,쇠살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2014-06-17,유혈목이,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2014-06-17,들꿩,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2014-05-20,누룩뱀,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-10-18,누룩뱀,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2013-10-18,쇠살모사,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2013-10-07,두꺼비,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-10-06,살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-10-06,유혈목이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-10-06,하늘다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-10-06,살모사,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2013-09-23,쇠살모사,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2013-09-12,유혈목이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-08-27,다람쥐,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2013-08-22,살모사,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2013-08-22,쇠살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-08-16,쇠살모사,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2013-08-16,능구렁이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-08-16,두꺼비,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-08-11,능구렁이,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2013-08-03,유혈목이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-08-03,어치,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2013-08-02,쇠살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-07-07,직박구리,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2013-07-01,다람쥐,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2013-06-22,살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-05-31,능구렁이,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2013-05-28,능구렁이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2013-04-08,족제비,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-11-14,멧밭쥐,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2012-10-27,살모사,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2012-09-28,다람쥐,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2012-09-28,다람쥐,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2012-09-05,두꺼비,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-09-01,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-08-19,살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-08-19,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-08-19,쇠살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-08-19,살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-08-19,살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-08-18,멧토끼,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2012-08-18,능구렁이,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2012-08-07,유혈목이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-08-02,멧토끼,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-07-31,능구렁이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-07-31,누룩뱀,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2012-07-27,들꿩,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-07-18,살모사,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2012-07-12,멧밭쥐,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2012-07-08,능구렁이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-06-20,두꺼비,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2012-06-17,다람쥐,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2012-06-04,들꿩,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-10-15,두꺼비,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-10-10,다람쥐,국지도 32호,속리_로드킬_002,127.8338308,36.6777
속리산,2011-10-10,누룩뱀,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-10-05,능구렁이,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2011-10-02,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-10-01,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-10-01,두꺼비,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-09-16,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-09-11,쇠살모사,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2011-09-08,유혈목이,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2011-09-05,누룩뱀,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2011-09-05,누룩뱀,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-09-05,유혈목이,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2011-09-03,능구렁이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-08-27,쇠살모사,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2011-08-23,쇠살모사,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2011-08-21,다람쥐,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2011-08-12,누룩뱀,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2011-08-04,살모사,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2011-08-03,고라니,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-07-20,붉은귀거북,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-07-09,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-06-17,쇠살모사,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2011-06-17,쇠살모사,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2011-06-17,두더지,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2011-06-13,유혈목이,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-04-21,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2011-04-19,다람쥐,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2011-04-08,다람쥐,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2011-04-07,큰산개구리,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2011-04-03,큰산개구리,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2011-04-03,큰산개구리,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2011-03-30,박새,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
